AVG_PRICE,MAX_PRICE,MIN_PRICE,SWAP_COUNT,BLOCK_NUMBER,PRICE_STDDEV,BLOCK_TIMESTAMP,VOLATILITY_FLAG,TOTAL_VOLUME_USD
86908.95147,86908.95147,86908.95147,1,24081519,,2025-12-24T09:15:35.000Z,NORMAL,1018.56
86915.13654,86921.09552,86909.17756,2,24081518,8.427271089,2025-12-24T09:15:23.000Z,NORMAL,4335.09
86909.28855,86909.72294,86908.85416,2,24081517,0.614325345,2025-12-24T09:15:11.000Z,NORMAL,6512.85
86909.61136,86909.61136,86909.61136,1,24081516,,2025-12-24T09:14:59.000Z,NORMAL,236.5
86896.55564,86909.23492,86883.87636,2,24081515,17.9312127,2025-12-24T09:14:47.000Z,NORMAL,3477.5
86910.13143,86910.13143,86910.13143,1,24081502,,2025-12-24T09:12:11.000Z,NORMAL,35.79
86909.02094,86909.02094,86909.02094,1,24081500,,2025-12-24T09:11:47.000Z,NORMAL,18686.86
86801.75246,86801.75246,86801.75246,1,24081495,,2025-12-24T09:10:47.000Z,NORMAL,6.35
86901.79611,86909.03404,86896.27201,3,24081492,6.551356564,2025-12-24T09:10:11.000Z,NORMAL,23140.76
86909.55445,86910.11824,86908.99067,2,24081490,0.797310505,2025-12-24T09:09:47.000Z,NORMAL,25021.1
86908.97661,86908.97661,86908.97661,1,24081484,,2025-12-24T09:08:35.000Z,NORMAL,26821.95
86849.8528,86849.8528,86849.8528,2,24081483,0,2025-12-24T09:08:23.000Z,NORMAL,14.17
86914.35642,86914.35642,86914.35642,1,24081480,,2025-12-24T09:07:47.000Z,NORMAL,104.09
86909.2848,86909.2848,86909.2848,1,24081474,,2025-12-24T09:06:35.000Z,NORMAL,1298.89
86909.00356,86909.00356,86909.00356,1,24081473,,2025-12-24T09:06:23.000Z,NORMAL,45037.03
86907.21392,86907.21392,86907.21392,1,24081472,,2025-12-24T09:06:11.000Z,NORMAL,417.17
86908.96573,86908.96573,86908.96573,1,24081471,,2025-12-24T09:05:59.000Z,NORMAL,23987.9
86908.93511,86909.61737,86908.25285,2,24081470,0.964861542,2025-12-24T09:05:47.000Z,NORMAL,1647.68
86911.2204,86920.88005,86906.71846,5,24081469,5.936577848,2025-12-24T09:05:35.000Z,NORMAL,10789.9
86994.48801,87037.03704,86909.38995,3,24081468,73.69707882,2025-12-24T09:05:23.000Z,NORMAL,104.26
86902.923,86902.923,86902.923,1,24081467,,2025-12-24T09:05:11.000Z,NORMAL,117.14
86905.90165,86909.01276,86904.3086,5,24081466,1.920769896,2025-12-24T09:04:59.000Z,NORMAL,13060.42
86900.78895,86906.34098,86898.01294,3,24081465,4.808192848,2025-12-24T09:04:47.000Z,NORMAL,222.51
86908.62709,86908.62709,86908.62709,2,24081464,0,2025-12-24T09:04:35.000Z,NORMAL,120
86909.75342,86909.75342,86909.75342,2,24081463,0,2025-12-24T09:04:23.000Z,NORMAL,1391.64
86915.51067,86922.08692,86908.88596,4,24081460,7.593700854,2025-12-24T09:03:47.000Z,NORMAL,9687.63
86877.82805,86877.82805,86877.82805,1,24081458,,2025-12-24T09:03:23.000Z,NORMAL,9.58
86908.15533,86908.15533,86908.15533,1,24081455,,2025-12-24T09:02:47.000Z,NORMAL,937.78
86899.26829,86909.99881,86893.90302,3,24081453,9.292906697,2025-12-24T09:02:23.000Z,NORMAL,737.2
92592.59259,92592.59259,92592.59259,1,24081451,,2025-12-24T09:01:59.000Z,NORMAL,0.1
86903.48852,86903.48852,86903.48852,1,24081450,,2025-12-24T09:01:47.000Z,NORMAL,92.69
86909.10096,86909.20359,86908.99833,2,24081449,0.145143604,2025-12-24T09:01:35.000Z,NORMAL,38481.43
86908.15695,86908.15695,86908.15695,1,24081448,,2025-12-24T09:01:23.000Z,NORMAL,403.12
86909.00766,86909.00766,86909.00766,1,24081444,,2025-12-24T09:00:35.000Z,NORMAL,79296.97
86909.1492,86909.1492,86909.1492,1,24081442,,2025-12-24T09:00:11.000Z,NORMAL,2130.47
86902.50791,86902.50791,86902.50791,1,24081441,,2025-12-24T08:59:59.000Z,NORMAL,1395.98
86901.80844,86901.80844,86901.80844,1,24081440,,2025-12-24T08:59:47.000Z,NORMAL,3920.33
86901.97822,86902.00333,86901.95311,2,24081439,0.035507146,2025-12-24T08:59:35.000Z,NORMAL,45179.91
86902.01522,86902.0345,86901.99594,2,24081438,0.027238917,2025-12-24T08:59:23.000Z,NORMAL,48092.85
86901.32147,86901.32147,86901.32147,1,24081436,,2025-12-24T08:58:59.000Z,NORMAL,1159.28
86902.0231,86902.0231,86902.0231,1,24081435,,2025-12-24T08:58:47.000Z,NORMAL,14647.25
86902.01292,86902.01292,86902.01292,1,24081431,,2025-12-24T08:57:59.000Z,NORMAL,17932.44
86902.01877,86902.01877,86902.01877,1,24081430,,2025-12-24T08:57:47.000Z,NORMAL,8512.27
