Block number,Block timestamp,Btc spot price usd,Tx hash,Platform,Symbol in,Symbol out
24081466,04:59.0,86904.3086,0xd70d171887a889294e60215b59f01f42d25cdde5676b7e8849e99385cc162cd1,uniswap-v3,WETH,WBTC
24081466,04:59.0,86909.01276,0xe12ea2e3c73dba294b21db0f5df693e60df99c1cf922db31f1a3848616f6f361,uniswap-v3,WBTC,WETH
24081466,04:59.0,86905.93915,0xd907bf59f7cc0259be05fabd1ce7ce568ab087cec499b5579dfe2c33afed0df7,uniswap-v3,WETH,WBTC
24081466,04:59.0,86905.93915,0xd907bf59f7cc0259be05fabd1ce7ce568ab087cec499b5579dfe2c33afed0df7,uniswap-v3,WBTC,tBTC
24081466,04:59.0,86904.3086,0xd70d171887a889294e60215b59f01f42d25cdde5676b7e8849e99385cc162cd1,uniswap-v3,WBTC,tBTC
24081465,04:47.0,86906.34098,0x65293b536def57f2ddf6e3fcb30368d81b4569decb3a29fdfb06ac7d6ca5c51b,uniswap-v3,WBTC,WETH
24081465,04:47.0,86898.01294,0xad0da0449fd2787d936154e9eb4122a1386b2c7623105bec3d73cd8dd1b693ec,uniswap-v3,WBTC,tBTC
24081465,04:47.0,86898.01294,0xad0da0449fd2787d936154e9eb4122a1386b2c7623105bec3d73cd8dd1b693ec,uniswap-v3,WETH,WBTC
24081464,04:35.0,86908.62709,0x914da21dbf0f20cbe3b643233aff7ee614a5bccdd12ce0c6785dcad3685682cc,uniswap-v3,WBTC,tBTC
24081464,04:35.0,86908.62709,0x914da21dbf0f20cbe3b643233aff7ee614a5bccdd12ce0c6785dcad3685682cc,uniswap-v3,WETH,WBTC
24081463,04:23.0,86909.75342,0xc4b5f14cdc596a05ab84042ba40e12e7cbcac34470287b0fe3416d9eebe824f0,uniswap-v3,WBTC,USDC
