Block number,Block timestamp,Swap count,Avg price,Min price,Max price,Price stddev,Total volume usd,Volatility flag
24081500,11:47.0,1,86909.02094,86909.02094,86909.02094,,18686.86,NORMAL
24081495,10:47.0,1,86801.75246,86801.75246,86801.75246,,6.35,NORMAL
24081492,10:11.0,3,86901.79611,86896.27201,86909.03404,6.551356564,23140.76,NORMAL
24081490,09:47.0,2,86909.55445,86908.99067,86910.11824,0.797310505,25021.1,NORMAL
24081484,08:35.0,1,86908.97661,86908.97661,86908.97661,,26821.95,NORMAL
24081483,08:23.0,2,86849.8528,86849.8528,86849.8528,0,14.17,NORMAL
24081480,07:47.0,1,86914.35642,86914.35642,86914.35642,,104.09,NORMAL
24081474,06:35.0,1,86909.2848,86909.2848,86909.2848,,1298.89,NORMAL
24081473,06:23.0,1,86909.00356,86909.00356,86909.00356,,45037.03,NORMAL
24081472,06:11.0,1,86907.21392,86907.21392,86907.21392,,417.17,NORMAL
24081471,05:59.0,1,86908.96573,86908.96573,86908.96573,,23987.9,NORMAL
24081470,05:47.0,2,86908.93511,86908.25285,86909.61737,0.964861542,1647.68,NORMAL
24081469,05:35.0,5,86911.2204,86906.71846,86920.88005,5.936577848,10789.9,NORMAL
24081468,05:23.0,3,86994.48801,86909.38995,87037.03704,73.69707882,104.26,NORMAL
24081467,05:11.0,1,86902.923,86902.923,86902.923,,117.14,NORMAL
24081466,04:59.0,5,86905.90165,86904.3086,86909.01276,1.920769896,13060.42,NORMAL
24081465,04:47.0,3,86900.78895,86898.01294,86906.34098,4.808192848,222.51,NORMAL
24081464,04:35.0,2,86908.62709,86908.62709,86908.62709,0,120,NORMAL
24081463,04:23.0,2,86909.75342,86909.75342,86909.75342,0,1391.64,NORMAL
24081460,03:47.0,4,86915.51067,86908.88596,86922.08692,7.593700854,9687.63,NORMAL
24081458,03:23.0,1,86877.82805,86877.82805,86877.82805,,9.58,NORMAL
24081455,02:47.0,1,86908.15533,86908.15533,86908.15533,,937.78,NORMAL
24081453,02:23.0,3,86899.26829,86893.90302,86909.99881,9.292906697,737.2,NORMAL
24081451,01:59.0,1,92592.59259,92592.59259,92592.59259,,0.1,NORMAL
24081450,01:47.0,1,86903.48852,86903.48852,86903.48852,,92.69,NORMAL
24081449,01:35.0,2,86909.10096,86908.99833,86909.20359,0.145143604,38481.43,NORMAL
24081448,01:23.0,1,86908.15695,86908.15695,86908.15695,,403.12,NORMAL
24081444,00:35.0,1,86909.00766,86909.00766,86909.00766,,79296.97,NORMAL
24081442,00:11.0,1,86909.1492,86909.1492,86909.1492,,2130.47,NORMAL
24081441,59:59.0,1,86902.50791,86902.50791,86902.50791,,1395.98,NORMAL
24081440,59:47.0,1,86901.80844,86901.80844,86901.80844,,3920.33,NORMAL
24081439,59:35.0,2,86901.97822,86901.95311,86902.00333,0.035507146,45179.91,NORMAL
24081438,59:23.0,2,86902.01522,86901.99594,86902.0345,0.027238917,48092.85,NORMAL
24081436,58:59.0,1,86901.32147,86901.32147,86901.32147,,1159.28,NORMAL
24081435,58:47.0,1,86902.0231,86902.0231,86902.0231,,14647.25,NORMAL
24081431,57:59.0,1,86902.01292,86902.01292,86902.01292,,17932.44,NORMAL
24081430,57:47.0,1,86902.01877,86902.01877,86902.01877,,8512.27,NORMAL
